Date,Open,High,Low,Close,Adj Close,Volume,stock
2007-11-12,2045.209961,2065.159912,1696.030029,2045.209961,1685.777344,749219071.0,JSMR.JK
2007-11-13,2194.860107,2194.860107,1995.329956,2020.27002,1665.220093,161219694.0,JSMR.JK
2007-11-14,2020.27002,2070.149902,1995.329956,2020.27002,1665.220093,47492467.0,JSMR.JK
2007-11-15,2020.27002,2045.209961,1970.390015,2020.27002,1665.220093,66480834.0,JSMR.JK
2007-11-16,1995.329956,1995.329956,1970.390015,1995.329956,1644.66333,20621683.0,JSMR.JK
2007-11-19,1995.329956,1995.329956,1970.390015,1970.390015,1624.106323,20675810.0,JSMR.JK
2007-11-20,1970.390015,1965.400024,1925.48999,1965.400024,1619.993286,39866148.0,JSMR.JK
2007-11-21,1965.400024,1965.400024,1825.719971,1835.699951,1513.08728,41200767.0,JSMR.JK
2007-11-22,1845.680054,1885.579956,1795.790039,1845.680054,1521.313354,20768526.0,JSMR.JK
2007-11-23,1845.680054,1865.630005,1835.699951,1845.680054,1521.313354,5010206.0,JSMR.JK
2007-11-26,1865.630005,1995.329956,1865.630005,1955.420044,1611.767456,42163516.0,JSMR.JK
2007-11-27,1935.469971,1955.420044,1915.51001,1935.469971,1595.323364,9358366.0,JSMR.JK
2007-11-28,1925.48999,1955.420044,1915.51001,1925.48999,1587.09729,7958595.0,JSMR.JK
2007-11-29,1925.48999,1985.349976,1925.48999,1925.48999,1587.09729,30617038.0,JSMR.JK
2007-11-30,1925.48999,1945.439941,1915.51001,1925.48999,1587.09729,11914839.0,JSMR.JK
2007-12-03,1925.48999,1945.439941,1915.51001,1925.48999,1587.09729,12038127.0,JSMR.JK
2007-12-04,1965.400024,1975.369995,1925.48999,1965.400024,1619.993286,25553206.0,JSMR.JK
2007-12-05,2025.26001,2025.26001,1955.420044,2025.26001,1669.333252,60521410.0,JSMR.JK
2007-12-06,2020.27002,2045.209961,1970.390015,2020.27002,1665.220093,12741270.0,JSMR.JK
2007-12-07,1970.390015,2020.27002,1945.439941,1970.390015,1624.106323,7676436.0,JSMR.JK
2007-12-10,1935.469971,1985.349976,1915.51001,1935.469971,1595.323364,20273369.0,JSMR.JK
2007-12-11,1945.439941,1955.420044,1935.469971,1945.439941,1603.54126,10084062.0,JSMR.JK
2007-12-12,1945.439941,1955.420044,1935.469971,1945.439941,1603.54126,10161242.0,JSMR.JK
2007-12-13,1935.469971,1945.439941,1935.469971,1935.469971,1595.323364,9515233.0,JSMR.JK
2007-12-14,1935.469971,1945.439941,1915.51001,1925.48999,1587.09729,7629326.0,JSMR.JK
2007-12-17,1915.51001,1915.51001,1885.579956,1905.540039,1570.65332,10299064.0,JSMR.JK
2007-12-18,1885.579956,1905.540039,1875.609985,1905.540039,1570.65332,2677255.0,JSMR.JK
2007-12-19,1905.540039,1905.540039,1885.579956,1905.540039,1570.65332,1655368.0,JSMR.JK
2007-12-26,1935.469971,1945.439941,1915.51001,1915.51001,1578.871216,711162.0,JSMR.JK
2007-12-27,1915.51001,1955.420044,1915.51001,1925.48999,1587.09729,3243078.0,JSMR.JK
2007-12-28,1925.48999,1925.48999,1885.579956,1895.560059,1562.42749,7797218.0,JSMR.JK
2007-12-31,,,,,,,JSMR.JK
2008-01-02,1895.560059,1925.48999,1895.560059,1925.48999,1587.09729,2976455.0,JSMR.JK
2008-01-03,1905.540039,1905.540039,1885.579956,1905.540039,1570.65332,2263789.0,JSMR.JK
2008-01-04,1925.48999,1925.48999,1885.579956,1925.48999,1587.09729,8366549.0,JSMR.JK
2008-01-07,1995.329956,1995.329956,1905.540039,1995.329956,1644.66333,38556589.0,JSMR.JK
2008-01-08,1945.439941,2020.27002,1920.5,1945.439941,1603.54126,25080100.0,JSMR.JK
2008-01-09,1935.469971,1945.439941,1915.51001,1935.469971,1595.323364,12249120.0,JSMR.JK
2008-01-14,1905.540039,1935.469971,1885.579956,1905.540039,1570.65332,24287248.0,JSMR.JK
2008-01-15,1865.630005,1925.48999,1855.650024,1865.630005,1537.757446,8680783.0,JSMR.JK
2008-01-16,1815.75,1875.609985,1775.839966,1815.75,1496.643433,10544137.0,JSMR.JK
